,Step 2,,,,,,
,Convert raw scores to same scale: 1-100: Higher the better,,,,,,
Max,100,100,100,100,100,100,100
Min,1,1,1,1,1,1,1
,Higher the better,Higher the better,Higher the better,Higher the better,Higher the better,Higher the better,Higher the better
Country,Numbero Health Care EXP,Legatum Health,WHO Performance,Numbero Safety Index,Numbero Purchasing Power ,Proximity to Boise,Adventure index
Sweden,70.7857868,88.13981043,89.55,44.01535446,21.23659118,58.01247401,72.775
Switzerland,87.22436548,86.60189573,86.8,87.11156485,3.317810318,75.0956341,82.675
Thailand,87.95025381,81.07582938,45,59.94397256,75.271071,51.42619543,93.8125
Trinidad And Tobago,40.74517766,67.39099526,57.65,8.762169226,69.76732505,50.80873181,74.0125
Tunisia,42.33096447,60.27488152,75.8,51.82603724,77.12531926,64.5987526,26.9875
Turkey,72.2822335,69.91943128,82.95,58.37536753,77.61416652,65.83367983,80.2
United Arab Emirates,73.47715736,77.00947867,92.3,98.83567462,1,57.80665281,24.5125
United Kingdom,82.74619289,79.61611374,87.9,47.49215943,22.98127022,69.33264033,48.025
United States,71.56751269,66.9478673,61.5,44.59751715,17.06453261,100,54.2125
Uruguay,67.24568528,77.66113744,73.6,38.581836,77.10846246,62.95218295,31.9375
Vietnam,45.64771574,73.54265403,29.6,48.88288141,77.49616891,54.92515593,39.3625
Cuba,3.747208122,80.21563981,81.3,71.5872264,100,85.59251559,75.25
